Date,Open,High,Low,Close,Volume
28-Feb-17,75.9,77.62,75.7,76.88,5078057
27-Feb-17,74.59,76.21,74.04,76.1,4015522
24-Feb-17,73.12,74.66,72.75,74.65,4087518
23-Feb-17,74.91,75.39,74.3,74.59,2888147
22-Feb-17,74.72,75.47,74.26,74.47,2811394
21-Feb-17,74.94,75.55,74.64,74.9,3437549
17-Feb-17,75.75,75.81,74.26,74.91,4790741
16-Feb-17,76.5,77.7,75.78,75.95,2946385
15-Feb-17,76.5,77,75.81,76.01,3362142
14-Feb-17,77.35,77.47,75.98,76.41,5390393
13-Feb-17,78,78.67,77.8,78.47,2399929
10-Feb-17,78.2,78.45,76.84,77.36,2878201
9-Feb-17,77.74,78.58,77.35,78.05,2884854
8-Feb-17,77.75,77.89,76.14,77.08,4499223
7-Feb-17,79.34,79.59,78.65,79.05,2629206
6-Feb-17,79,79.65,78.55,78.94,2307417
3-Feb-17,79.38,79.85,78.98,79.13,2624911
2-Feb-17,79.18,79.93,78.8,79.23,2982651
1-Feb-17,80.47,80.7,78.46,79.16,3897756
31-Jan-17,79.11,79.91,77.8,79.73,3617827
30-Jan-17,79.28,79.86,78.51,79.22,3845936
27-Jan-17,78.86,80.04,78.14,79.52,5244208
26-Jan-17,79.84,81.67,78.36,78.47,9977845
25-Jan-17,79.78,81.26,79.1,80.02,13823802
24-Jan-17,74.01,76.52,73.93,76.01,6509245
23-Jan-17,72.95,73,71.1,72.65,4707168
20-Jan-17,72.39,73.4,72.28,72.63,3513040
19-Jan-17,72.06,73.11,71.63,71.67,4121292
18-Jan-17,71.99,73.47,71.58,73.24,4413117
17-Jan-17,70.74,72.34,70.73,71.62,4505724
13-Jan-17,70.59,71.82,70.59,71,2078365
12-Jan-17,70.93,71.03,69.1,70.75,3451275
11-Jan-17,71.17,72.56,70.57,71.45,4370652
10-Jan-17,71.82,72.2,70.78,70.84,3651239
9-Jan-17,70.9,72.3,70.43,71.86,3909563
6-Jan-17,70.48,71.19,69.96,70.38,3274293
5-Jan-17,71.06,72.13,70.13,70.55,3638317
4-Jan-17,69.58,71.58,69.55,70.54,3653169
3-Jan-17,68.95,70.3,68.58,69.43,4479040
30-Dec-16,68.55,69.4,67.61,67.95,2824118
29-Dec-16,69.02,69.44,67.8,68.43,3268450
28-Dec-16,69.86,71.16,68.63,69.21,3147008
27-Dec-16,69.7,70.48,69.55,70.17,2102494
23-Dec-16,70.14,70.69,69.69,70.35,2257114
22-Dec-16,71.39,72.01,69.81,70.19,5459274
21-Dec-16,69.01,69.79,68.27,69.22,2736048
20-Dec-16,69.21,71.67,68.73,68.95,4286290
19-Dec-16,67.34,68.43,67.02,68.36,2549476
16-Dec-16,68.78,68.79,66.91,67.18,4851758
15-Dec-16,67.3,68.84,66.8,67.89,2804080
14-Dec-16,67.45,68.29,66.74,67.17,2558199
13-Dec-16,66.59,68.8,66.59,67.9,3550223
12-Dec-16,67.69,67.69,65.08,66.29,3637672
9-Dec-16,68.4,69.4,67.57,67.71,3101065
8-Dec-16,69.23,69.5,67.57,68.25,4771074
7-Dec-16,67.92,69.6,66.31,69.15,15474985
6-Dec-16,62.07,64.27,61.85,63.85,5049511
5-Dec-16,64.14,64.88,60.78,62.09,6865574
2-Dec-16,61.51,63.65,61.51,63.35,3496934
1-Dec-16,63.87,65.99,61.37,61.61,5508385
30-Nov-16,63.26,64.37,62.75,63.66,5383041
29-Nov-16,62.29,64.29,62.29,62.67,5052997
28-Nov-16,61.03,63.12,61.03,62.27,4726728
25-Nov-16,60.96,61.72,60.66,61.59,1315405
23-Nov-16,60.8,61.48,60.3,61.04,2201640
22-Nov-16,61.45,61.89,60.32,61.19,2696428
21-Nov-16,61.1,62.34,60.87,61.17,3887203
18-Nov-16,58.97,60.93,58.3,60.93,4837313
17-Nov-16,59.71,60.25,57.62,58.8,6615963
16-Nov-16,59.52,59.83,58.86,59.53,2961160
15-Nov-16,59.49,59.98,58.71,59.71,4047864
14-Nov-16,58.66,60.54,58.65,59.48,4415563
11-Nov-16,56.72,58.99,56.26,58.89,6219953
10-Nov-16,57.98,59.49,56.66,56.84,4856342
9-Nov-16,56.08,58.04,55.05,57.48,5819446
8-Nov-16,57.34,57.77,56.65,57.26,2974875
7-Nov-16,56.41,57.96,56.3,57.67,4502963
4-Nov-16,54.72,55.97,54.26,55.02,2705620
3-Nov-16,55.43,55.98,54.87,55.14,3192636
2-Nov-16,57.11,57.63,55.14,55.2,4216225
1-Nov-16,58.51,58.9,56.3,57.24,3821098
31-Oct-16,59.25,59.95,58.43,58.44,3363161
28-Oct-16,59.68,61,59.1,59.21,4760215
27-Oct-16,58.55,61.97,58.5,59.58,15085521
26-Oct-16,53.52,56.67,53.14,56.52,8825995
25-Oct-16,54.05,54.44,53.11,53.63,3335186
24-Oct-16,53.32,53.75,53.16,53.52,3157295
21-Oct-16,53.53,53.64,52.62,53.07,2764605
20-Oct-16,53.59,54.3,53.3,53.86,2215172
19-Oct-16,52.7,53.97,52.1,53.6,3705863
18-Oct-16,54.07,54.36,53,53.99,3133732
17-Oct-16,54.82,55.72,52.43,53.18,6593534
14-Oct-16,55.62,56.47,54.71,54.84,3832916
13-Oct-16,55.62,55.63,53.73,55.28,4978106
12-Oct-16,56.75,57.86,55.97,56.43,4292544
11-Oct-16,59.26,59.35,56.05,56.62,6387849
10-Oct-16,59.34,59.73,58.73,59.26,3761356
7-Oct-16,57.91,59.11,57.87,58.67,3517186
6-Oct-16,59.2,59.26,57.27,58.05,4964569
5-Oct-16,58.49,59.69,58.19,59.24,4441993
4-Oct-16,59.35,59.55,58.24,58.69,4601207
3-Oct-16,59.02,60.47,58.74,58.86,5164389
30-Sep-16,58.43,59.15,57.69,58.47,4396809
29-Sep-16,58.43,59.86,57.57,58.27,5366641
28-Sep-16,59,59.27,57.02,58.01,4878139
27-Sep-16,56.79,59.32,56.66,58.86,7932465
26-Sep-16,55.6,57.7,55.5,57.01,5901548
23-Sep-16,55.94,56.8,55.82,55.93,3982669
22-Sep-16,56.52,56.88,55.81,56.07,4564358
21-Sep-16,54.4,56.19,54.39,56.13,4197423
